min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
40,10,0.1,1e-10,rsq,standard,0.8836099187960522,10,0.012538645097321742,Model060
2,15,0.1,1e-10,rmse,standard,28770.073807913737,10,2663.6348974919842,Model061
2,15,0.1,1e-10,rsq,standard,0.8629093967999235,10,0.025764066804873004,Model061
14,15,0.1,1e-10,rmse,standard,27980.156873899552,10,2392.8118607184724,Model062
14,15,0.1,1e-10,rsq,standard,0.8711576429493231,10,0.019970073660489307,Model062
27,15,0.1,1e-10,rmse,standard,26739.173313213683,10,1957.0255140702197,Model063
27,15,0.1,1e-10,rsq,standard,0.8811223852083561,10,0.01567465681972869,Model063
40,15,0.1,1e-10,rmse,standard,26709.14243222889,10,1764.3775821028335,Model064
40,15,0.1,1e-10,rsq,standard,0.8826574125950665,10,0.01251862735044859,Model064
2,1,1e-10,6.812920690579622e-7,rmse,standard,195558.09555581294,10,1819.9545272308135,Model065
2,1,1e-10,6.812920690579622e-7,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model065
14,1,1e-10,6.812920690579622e-7,rmse,standard,195558.09555581294,10,1819.9545272308135,Model066
14,1,1e-10,6.812920690579622e-7,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model066
27,1,1e-10,6.812920690579622e-7,rmse,standard,195558.09555581294,10,1819.9545272308135,Model067
27,1,1e-10,6.812920690579622e-7,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model067
40,1,1e-10,6.812920690579622e-7,rmse,standard,195558.09555581294,10,1819.9545272308135,Model068
40,1,1e-10,6.812920690579622e-7,rsq,standard,0.47900218470685874,10,0.020965168833786196,Model068
2,5,1e-10,6.812920690579622e-7,rmse,standard,195558.0954884162,10,1819.9545242854656,Model069
2,5,1e-10,6.812920690579622e-7,rsq,standard,0.7062863872726205,10,0.018836244500198496,Model069
14,5,1e-10,6.812920690579622e-7,rmse,standard,195558.09548782377,10,1819.9545249624025,Model070
14,5,1e-10,6.812920690579622e-7,rsq,standard,0.7158363681854389,10,0.013402869074502935,Model070
27,5,1e-10,6.812920690579622e-7,rmse,standard,195558.09548826749,10,1819.9545257015495,Model071
27,5,1e-10,6.812920690579622e-7,rsq,standard,0.7087487038898346,10,0.01067164549992823,Model071
40,5,1e-10,6.812920690579622e-7,rmse,standard,195558.09549068665,10,1819.9545253867796,Model072
40,5,1e-10,6.812920690579622e-7,rsq,standard,0.7148860367245419,10,0.012042506033990253,Model072
2,10,1e-10,6.812920690579622e-7,rmse,standard,195558.0954908366,10,1819.9545233852875,Model073
2,10,1e-10,6.812920690579622e-7,rsq,standard,0.7070626288231073,10,0.018327161462240203,Model073
14,10,1e-10,6.812920690579622e-7,rmse,standard,195558.09548824423,10,1819.9545250569447,Model074
14,10,1e-10,6.812920690579622e-7,rsq,standard,0.718610531720886,10,0.013388821363475542,Model074
27,10,1e-10,6.812920690579622e-7,rmse,standard,195558.09548764443,10,1819.9545255755281,Model075
